Site,Date_collected,Date_processed,Site,Cobble_SID,Pool_or_Riffle,Volume_mL,Volume_Added,TIN_num,Dry_Weight_g,AFD_Weight_g,Difference, Notes,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,14,pool,39,0,15,1.1155,1.1146,0.0009,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,4,riffle,46,0,16,1.1294,1.1179,0.0115,,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,7,pool,11,0,14,1.1808,,1.1808,MELTED IN OVEN REDO,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,8,pool,43,0,1,1.1524,1.1494,0.0030,,,
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,7,riffle,23,0,25,1.1615,1.1606,0.0009,,,
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,12,pool,22,0,26,1.1750,1.1707,0.0043,,,
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,4,riffle,33,0,32,1.1734,1.1718,0.0016,,,
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,9,riffle,32,0,30,1.1670,1.1660,0.0010,,,
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,5,pool,22,0,29,1.1623,1.1589,0.0034,,,
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,10,riffle,22,0,31,1.1565,1.1559,0.0006,,,
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,6,riffle,35,0,28,1.1865,1.1840,0.0025,,,
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,16,pool,46,0,27,1.1417,1.1404,0.0013,,,
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,8,pool,18,0,24,1.1715,1.1674,0.0041,,,
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,3,riffle,42,0,20,1.1553,1.1532,0.0021,,,
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,14,pool,38,7,18,1.1571,1.1554,0.0017,,,
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,13,pool,31,0,21,1.1741,1.1706,0.0035,,,
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,2,riffle,22,0,22,1.1529,1.1510,0.0019,,,
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,1,riffle,28,0,19,1.1727,1.1708,0.0019,,,
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,11,pool,39,5,23,1.1752,1.1723,0.0029,,,
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,15,pool,21,2,17,1.1399,1.1380,0.0019,,,
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,1,riffle,45,0,6,1.1383,1.1368,0.0015,IN AT 5:23 PM 7/15,,
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,7,riffle,29,0,8,1.1489,1.1474,0.0015,,,
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,8,pool,34,0,16,1.1488,1.1459,0.0029,,,
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,9,pool,32,0,3,1.1749,1.1731,0.0018,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,2,riffle,30,0,7,1.1477,1.1466,0.0011,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,4,riffle,24,0,14,1.1620,1.1597,0.0023,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,5,pool,19,0,9,1.1479,1.1468,0.0011,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,13,pool,19,0,1,1.1543,1.1537,0.0006,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,3,riffle,22,0,11,1.1543,1.1523,0.0020,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,6,riffle,39,0,15,1.1491,1.1428,0.0063,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,12,pool,23,0,13,1.1790,1.1771,0.0019,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,15,pool,44,4,5,1.1487,1.1473,0.0014,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,10,riffle,40,0,2,1.1685,1.1679,0.0006,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,11,riffle,35,0,10,1.1768,1.1744,0.0024,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,14,pool,38,0,4,1.1422,1.1414,0.0008,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,16,pool,29,0,12,1.1655,1.1638,0.0017,,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,3,riffle,26,0,22,1.1533,1.1475,0.0058,clump of cladophora on filter paper,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,4,riffle,19,0,24,1.1364,1.1330,0.0034,,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,14,pool,51,-6,21,1.1720,1.1690,0.0030,,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,15,pool,36,0,19,1.1682,1.1639,0.0043,leaky vacuum gasket(?) during filtration,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,1,riffle,32,0,28,1.1445,1.1403,0.0042,,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,8,riffle,57,-14,26,1.1526,1.1443,0.0083,clump of algae on filter paper,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,9,pool,40,0,32,1.1677,1.1601,0.0076,,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,10,pool,67,-22,27,1.1302,1.1219,0.0083,,,
