Site,Date_collected,Date_processed,Site,Cobble#_SID,Pool/Riffle,Volume (mL),Volume Added,Canister_#,Chla_reading,Total_Chla_extracted,Total_Chla_in_Sample,Chla_area,Cobble Area,Notes
Elder_Below,5/20/18,5/23/18,Rock_Rose_18.4,12,pool,30,0,39,376.65,3.7665,11.2995,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Rock_Rose_18.4,9,riffle,47.5,2,42,309.42,3.0942,14.69745,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Brandywine_18.3,16,pool,48,0,46,615.4,6.154,29.5392,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Oak_Terrace_18.2,8,pool,31,0,43,503.76,5.0376,15.61656,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Rock_Rose_18.4,13,pool,30,0,44,174.99,1.7499,5.2497,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Brandywine_18.3,14,riffle,25,0,48,317.44,3.1744,7.936,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,TV_Pool_18.1,3,riffle,35.5,0,45,109.02,1.0902,3.87021,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,TV_Pool_18.1,4,pool,48.5,3,47,71.08,0.7108,3.44738,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Oak_Terrace_18.2,7,riffle,38,0,40,573.12,5.7312,21.77856,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Oak_Terrace_18.2,6,riffle,47,0,41,276.81,2.7681,13.01007,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Rock_Rose_18.4,1,riffle,46,0,35,230.82,2.3082,10.61772,#DIV/0!,,poured out 5 mL
Elder_Below,5/20/18,5/23/18,Brandywine_18.3,10,riffle,27,0,33,365.67,3.6567,9.87309,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,Brandywine_18.3,15,pool,48,0,38,194.69,1.9469,9.34512,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,TV_Pool_18.1,2,riffle,45,0,37,269.09,2.6909,12.10905,#DIV/0!,,
Elder_Below,5/20/18,5/23/18,TV_Pool_18.1,5,pool,32.5,0,34,105.87,1.0587,3.440775,#DIV/0!,,filter paper torn slightly
Porter_Above,5/18/18,5/23/18,Jesus_Toast_18.2,13,pool,36,0,57,355.76,3.5576,12.80736,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Jesus_Toast_18.2,2,riffle,28.5,0,56,303.63,3.0363,8.653455,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,14,pool,34,0,58,112.49,1.1249,3.82466,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,11,riffle,27,0,60,151.75,1.5175,4.09725,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,12,pool,45.5,3,61,524.24,5.2424,23.85292,#DIV/0!,,poured out 10 mL
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,10,pool,19,0,62,101.02,1.0102,1.91938,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,8,pool,16,0,63,156.66,1.5666,2.50656,#DIV/0!,,wes dropped the sample on the table and took a little bit off the table (hahaha)
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,9,pool,25,0,59,131.46,1.3146,3.2865,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,5,riffle,37.5,0,64,216.75,2.1675,8.128125,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Frog_Legs_18.1,6,riffle,38,0,49,441.53,4.4153,16.77814,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,7,riffle,25.5,0,52,269.1,2.691,6.86205,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,4,riffle,18.5,0,51,94.77,0.9477,1.753245,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Golf_Ball_18.3,15,pool,44.5,0,50,266.32,2.6632,11.85124,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Jesus_Toast_18.2,3,riffle,25,0,53,241.69,2.4169,6.04225,#DIV/0!,,
Porter_Above,5/18/18,5/23/18,Waterfall_18.4,1,riffle,48.5,0,55,112.72,1.1272,5.46692,#DIV/0!,,Calibration: Hi 79.72 time|Low 13.32 (4:45 pm)
Porter_Above,5/18/18,5/23/18,Jesus_Toast_18.2,16,pool,25,0,54,158.67,1.5867,3.96675,#DIV/0!,,In freezer at 3:00 PM
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,7,riffle,21,2,27,109.42,1.0942,2.29782,,,Ethanol added at 11:30 am on 6/18
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,12,pool,38,7,22,627.32,6.2732,23.83816,,,
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,4,riffle,28,0,30,472.65,4.7265,13.2342,,,
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,9,riffle,42,0,31,113.1,1.131,4.7502,,,
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,5,pool,31,0,29,507.76,5.0776,15.74056,,,
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,10,riffle,22,0,23,200.85,2.0085,4.4187,,,
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,6,riffle,39,5,28,321.28,3.2128,12.52992,,,
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,16,pool,18,0,32,169.55,1.6955,3.0519,,,
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,8,pool,23,0,25,131.47,1.3147,3.02381,,,Some was frozen
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,3,riffle,22,0,18,212.78,2.1278,4.68116,,,Some was frozen
Elder_Below,6/11/18,6/14/18,TV_Pool_18.1,14,pool,46,0,17,270.92,2.7092,12.46232,,,
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,13,pool,35,0,19,595.14,5.9514,20.8299,,,Some was frozen
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,2,riffle,22,0,26,167.1,1.671,3.6762,,,Some was frozen
Elder_Below,6/11/18,6/14/18,Brandywine_18.3,1,riffle,32,0,20,276.94,2.7694,8.86208,,,Some was frozen
Elder_Below,6/11/18,6/14/18,Rock_Rose_18.4,11,pool,22,0,24,242.45,2.4245,5.3339,,,
Elder_Below,6/11/18,6/14/18,Oak_Terrace_18.2,15,pool,33,0,21,282.22,2.8222,9.31326,,,
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,16,pool,43,0,15,158.3,1.583,6.8069,,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,1,riffle,47,0,6,248.05,2.4805,11.65835,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,10,pool,24,0,7,350.02,3.5002,8.40048,,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,5,riffle,49,0,16,252.88,2.5288,12.39112,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,12,pool,53,-6,9,845.94,8.4594,44.83482,,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,3,riffle,37,0,14,729.44,7.2944,26.98928,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,6,riffle,16,0,12,331.02,3.3102,5.29632,,,vacuum gasket was leaking slightly
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,13,riffle,55,-9,10,254.94,2.5494,14.0217,,,vacuum gasket was leaking slightly
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,9,riffle,57,-9,11,608.42,6.0842,34.67994,,,
Porter_Above,6/13/18,6/14/18,Jesus_Toast_18.2,15,pool,54,-6,13,340.52,3.4052,18.38808,,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,2,riffle,20,0,8,452.36,4.5236,9.0472,,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,11,pool,20,0,1,186.57,1.8657,3.7314,,,
Porter_Above,6/13/18,6/14/18,Golf_Ball_18.3,14,pool,25,0,3,549.17,5.4917,13.72925,,,
Porter_Above,6/13/18,6/14/18,Waterfall_18.4,4,riffle,11,added 5 mL water after Chl-a and before AFD,2,127.92,1.2792,1.40712,,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,7,pool,39,0,4,122.9,1.229,4.7931,,,
Porter_Above,6/13/18,6/14/18,Frog_Legs_18.1,8,pool,46,0,5,378.6,3.786,17.4156,,,
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,1,riffle,45,0,16,263.63,2.6363,11.86335,,,in freezer at 2:30
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,7,riffle,29,0,7,224.42,2.2442,6.50818,,,
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,8,pool,34,0,10,426.49,4.2649,14.50066,,,
Elder_Below,7/11/18,7/14/18,Rock_Rose_18.4,9,pool,32,0,13,285.99,2.8599,9.15168,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,2,riffle,30,0,6,132.15,1.3215,3.9645,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,4,riffle,24,0,1,560.66,5.6066,13.45584,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,5,pool,19,0,8,121.38,1.2138,2.30622,,,
Elder_Below,7/11/18,7/14/18,Brandywine_18.3,13,pool,19,0,15,93.97,0.9397,1.78543,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,3,riffle,22,0,5,304.12,3.0412,6.69064,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,6,riffle,39,0,4,297.19,2.9719,11.59041,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,12,pool,23,0,2,298.33,2.9833,6.86159,,,
Elder_Below,7/11/18,7/14/18,Oak_Terrace_18.2,15,pool,44,4,11,288.14,2.8814,12.67816,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,10,riffle,40,0,14,133.16,1.3316,5.3264,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,11,riffle,35,0,9,252.65,2.5265,8.84275,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,14,pool,38,0,12,176.82,1.7682,6.71916,,,
Elder_Below,7/11/18,7/14/18,TV_Pool_18.1,16,pool,29,0,3,230.29,2.3029,6.67841,,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,3,riffle,26,0,27,566.64,5.6664,14.73264,,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,4,riffle,19,0,28,567.99,5.6799,10.79181,,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,14,pool,51,-6,19,372.62,3.7262,19.00362,,,
Porter_Above,7/13/18,7/14/18,Frog_Legs_18.1,15,pool,36,0,32,711,7.11,25.596,,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,1,riffle,32,0,18,453.57,4.5357,14.51424,,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,8,riffle,57,-14,22,814.93,8.1493,46.45101,,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,9,pool,40,0,23,1000,10,40,,,
Porter_Above,7/13/18,7/14/18,Jesus_Toast_18.2,10,pool,67,-22,17,869.2,8.692,58.2364,,,
Porter_Above,7/13/18,7/14/18,Golf_Ball_18.3,2,riffle,34,0,30,650.55,6.5055,22.1187,,,
